Symbol,Date,Open,High,Low,Close,Percent Change,Volume
ACLBSL,24/01/2024,595.1,609,595.1,597.1,-1.47%,"1,506.00"
ADBL,24/01/2024,245,247,242.3,245.5,0.12%,"25,650.00"
ADBLD83,24/01/2024,976,983,976,983,1.76%,40
AHL,24/01/2024,395.1,414.1,395.1,400,1.52%,"9,440.00"
AHPC,24/01/2024,291,293,279.1,279.1,-2.45%,"173,186.00"
AKJCL,24/01/2024,225.4,235,220.7,223.9,-2.65%,"147,418.00"
AKPL,24/01/2024,213,214.9,208,209,0.00%,"571,874.00"
ALBSL,24/01/2024,729,730,702,710,-0.70%,"1,225.00"
ALICL,24/01/2024,675.1,689.9,675.1,684,0.29%,"33,850.00"
ANLB,24/01/2024,1825,1898.9,1811,1831,0.32%,"1,539.00"
API,24/01/2024,222.3,222.3,209.8,211,-3.21%,"507,284.00"
AVYAN,24/01/2024,616,635,610,618,-1.12%,"3,248.00"
BANKING,24/01/2024,1159.37,1171.42,1157.9,1162.25,0.10%,"263,627,645.60"
BARUN,24/01/2024,249.9,262,245,249.8,-2.04%,"59,824.00"
BBC,24/01/2024,3700,3728.1,3680,3680,0.68%,120
BEDC,24/01/2024,335,337,318.1,323.7,-2.21%,"8,854.00"
BFC,24/01/2024,326,330,318.5,324,1.25%,"8,483.00"
BGWT,24/01/2024,578.5,580,550.1,563,-0.74%,"8,008.00"
BHDC,24/01/2024,441,465,441,445.2,0.95%,"6,547.00"
BHL,24/01/2024,305,315,301.9,307,-0.32%,"12,304.00"
BHPL,24/01/2024,459,474,435.2,454.8,1.04%,"5,680.00"
BNHC,24/01/2024,380.5,408,380.5,385,-0.52%,"5,871.00"
BNT,24/01/2024,12400,12444,12217.1,12217.1,0.14%,135
BOKD86,24/01/2024,822.1,826,822.1,826,0.34%,75
BPCL,24/01/2024,318,329,312,316,0.00%,"24,390.00"
BPW,24/01/2024,1405.2,1457,1405.2,1431,0.18%,505
C30MF,24/01/2024,8.35,8.51,8.35,8.51,0.12%,"2,400.00"
CBBL,24/01/2024,875,885,871,876,0.69%,"6,167.00"
CBLD88,24/01/2024,978,978,978,978,-0.10%,651
CCBD88,24/01/2024,985,990,985,990,-0.02%,50
CFCL,24/01/2024,345,350.9,340,342,0.88%,"10,678.00"
CGH,24/01/2024,968.2,1044.2,968.2,1044.2,10.00%,"58,555.00"
CHCL,24/01/2024,507.9,507.9,496,496.9,-0.22%,"19,991.00"
CHDC,24/01/2024,1008,1030,1000,1020,0.00%,"14,575.00"
CHL,24/01/2024,289,294,276.3,277,-2.46%,"10,942.00"
CIT,24/01/2024,2090,2131,2078,2078.1,-0.71%,"12,926.00"
CITY,24/01/2024,687.4,687.4,645.6,659,-2.37%,"22,243.00"
CKHL,24/01/2024,511.5,520,505.7,512,0.35%,"9,615.00"
CLI,24/01/2024,464.5,471,456.1,457,-1.19%,"33,324.00"
CMF1,24/01/2024,8.24,8.4,8.24,8.35,0.00%,"9,641.00"
CMF2,24/01/2024,8.72,8.72,8.55,8.55,-0.12%,245
CORBL,24/01/2024,387,394.7,376,376,-1.31%,"2,888.00"
CYCL,24/01/2024,1219.2,1219.2,1170,1180,-5.14%,"10,422.00"
CZBIL,24/01/2024,173.9,177,170.1,172.9,-0.58%,"25,510.00"
DDBL,24/01/2024,796.1,813.9,786,788,0.25%,"3,106.00"
DEVBANK,24/01/2024,4058.76,4136.78,4027.91,4029.87,-1.00%,"145,988,971.30"
DHPL,24/01/2024,220.3,224.7,212.7,212.8,-1.48%,"24,031.00"
DLBS,24/01/2024,825,840,820,828,0.36%,"1,279.00"
DOLTI,24/01/2024,334,343.9,332.3,332.3,-2.26%,"21,423.00"
DORDI,24/01/2024,403.7,427.3,388,420,1.97%,"70,536.00"
EBL,24/01/2024,525,529,524,526,0.57%,"44,433.00"
EBLD85,24/01/2024,1015,1015,1015,1015,1.96%,150
EBLD86,24/01/2024,821.1,821.1,821.1,821.1,-1.55%,25
EDBL,24/01/2024,367,367,355,359,-0.28%,"10,459.00"
EHPL,24/01/2024,415,420.2,408,412,-0.72%,"8,074.00"
ENL,24/01/2024,812.5,846.1,812.5,825,1.85%,"2,349.00"
FINANCE,24/01/2024,1793.09,1820.33,1778.18,1784.19,-0.50%,"90,514,074.00"
FLOAT,24/01/2024,143.91,145.28,142.84,143.19,-0.49%,"3,765,405,044.90"
FMDBL,24/01/2024,638,647,625,630,-1.10%,"5,643.00"
FOWAD,24/01/2024,1136.2,1136.2,1097.7,1100,-1.26%,"2,296.00"
